CommandLine, Time, Executable, Parent PID, PID, User, Privileges
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031153246.753995+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 5696 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\cmd.exe"  , 20231031153256.506017+000 , C:\Windows\system32\cmd.exe,1176 , 3116 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20231031153256.710136+000 , C:\Windows\system32\conhost.exe,3116 , 4416 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
notepad.exe , 20231031153316.319738+000 , C:\Windows\system32\notepad.exe,3116 , 3856 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
calc.exe , 20231031153323.919639+000 , C:\Windows\system32\calc.exe,3116 , 1500 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2307.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe" -ServerName:App.AppXjvs2nbwryyqjz1h8d8v70f70g3rgdcyb.mca , 20231031153326.173792+000 , C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2307.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe,700 , 1968 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
C:\Windows\system32\ApplicationFrameHost.exe -Embedding , 20231031153325.912434+000 , None,700 , 5464 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20231031153328.739943+000 , C:\Windows\system32\DllHost.exe,700 , 3040 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20231031153334.119254+000 , C:\Windows\System32\RuntimeBroker.exe,700 , 5320 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
"C:\Windows\SysWOW64\DllHost.exe" /Processid:{776DBC8D-7347-478C-8D71-791E12EF49D8} , 20231031153406.755026+000 , None,700 , 5232 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
consent.exe 968 288 00000199513DB6E0 , 20231031153407.674199+000 , C:\Windows\system32\consent.exe,968 , 5880 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\cmd.exe"  , 20231031153410.311732+000 , None,1176 , 1572 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20231031153410.502561+000 , C:\Windows\system32\conhost.exe,1572 , 2120 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
bhservice.exe  start , 20231031153504.100766+000 , C:\Users\BULFU\Desktop\blackhat\Chapter10\bhservice\dist\bhservice.exe,1572 , 4264 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
bhservice.exe  start , 20231031153504.483655+000 , C:\Users\BULFU\Desktop\blackhat\Chapter10\bhservice\dist\bhservice.exe,4264 , 3172 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031153506.095778+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 5620 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Users\BULFU\Desktop\blackhat\Chapter10\bhservice\dist\bhservice.exe" , 20231031153506.922759+000 , C:\Users\BULFU\Desktop\blackhat\Chapter10\bhservice\dist\bhservice.exe,572 , 3228 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Users\BULFU\Desktop\blackhat\Chapter10\bhservice\dist\bhservice.exe" , 20231031153507.151795+000 , C:\Users\BULFU\Desktop\blackhat\Chapter10\bhservice\dist\bhservice.exe,3228 , 3860 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20231031153507.157417+000 , C:\Windows\system32\conhost.exe,3860 , 4396 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} , 20231031153524.508718+000 , C:\Windows\system32\DllHost.exe,700 , 1228 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , N/A
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
notepad.exe , 20231031162525.086864+000 , None,3116 , 5156 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031162530.872419+000 , C:\Windows\system32\cscript.exe,3860 , 5696 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
calc.exe , 20231031162546.817091+000 , None,3116 , 4232 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
"C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2307.4.0_x64__8wekyb3d8bbwe\CalculatorApp.exe" -ServerName:App.AppXjvs2nbwryyqjz1h8d8v70f70g3rgdcyb.mca , 20231031162547.645525+000 , None,700 , 5808 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20231031162550.804778+000 , None,700 , 3120 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031162632.088041+000 , C:\Windows\system32\cscript.exe,3860 , 5236 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:ShellFeedsUI.AppXnj65k2d1a1rnztt2t2nng5ctmk3e76pn.mca , 20231031162650.616756+000 , C:\Windows\system32\backgroundTaskHost.exe,700 , 3580 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca , 20231031162650.627993+000 , C:\Windows\system32\backgroundTaskHost.exe,700 , 5500 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20231031162653.473392+000 , C:\Windows\System32\RuntimeBroker.exe,700 , 5252 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20231031162653.896359+000 , C:\Windows\System32\RuntimeBroker.exe,700 , 2928 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
C:\Windows\System32\mousocoreworker.exe -Embedding , 20231031162656.634249+000 , None,700 , 2096 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031162705.690128+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 3676 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
None , 20231031162707.201249+000 , None,572 , 1852 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031162733.444782+000 , C:\Windows\system32\cscript.exe,3860 , 5136 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031162834.638083+000 , C:\Windows\system32\cscript.exe,3860 , 5656 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
CommandLine, Time, Executable, Parent PID, PID, User, Privileges
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163139.113166+000 , C:\Windows\system32\cscript.exe,3860 , 844 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163240.321045+000 , C:\Windows\system32\cscript.exe,3860 , 4576 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031163241.663136+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 3040 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163341.526003+000 , C:\Windows\system32\cscript.exe,3860 , 2956 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163442.750967+000 , C:\Windows\system32\cscript.exe,3860 , 5724 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031163443.824985+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 3776 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
"/C/Program Files/Sublime Text/sublime_text.exe" --crawl 5612crawl146s0 5612crawl146r0 5612 "/C/Users/BULFU/AppData/Roaming/Sublime Text" "/C/Users/BULFU/AppData/Local/Sublime Text" "/C/Program Files/Sublime Text/Packages" , 20231031163443.877187+000 , C:\Program Files\Sublime Text\sublime_text.exe,5612 , 3936 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163543.932165+000 , C:\Windows\system32\cscript.exe,3860 , 3140 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163645.133732+000 , C:\Windows\system32\cscript.exe,3860 , 1668 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031163646.198203+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 1032 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
C:\Windows\System32\RuntimeBroker.exe -Embedding , 20231031163737.892942+000 , C:\Windows\System32\RuntimeBroker.exe,700 , 4724 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
None , 20231031163737.346469+000 , None,572 , 5408 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca , 20231031163737.579053+000 , C:\Windows\system32\backgroundTaskHost.exe,700 , 612 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163746.292025+000 , C:\Windows\system32\cscript.exe,3860 , 5944 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"/C/Program Files/Sublime Text/sublime_text.exe" --crawl 5612crawl155s0 5612crawl155r0 5612 "/C/Users/BULFU/AppData/Roaming/Sublime Text" "/C/Users/BULFU/AppData/Local/Sublime Text" "/C/Program Files/Sublime Text/Packages" , 20231031163747.405462+000 , C:\Program Files\Sublime Text\sublime_text.exe,5612 , 3980 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163847.492735+000 , C:\Windows\system32\cscript.exe,3860 , 4392 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\system32\SearchFilterHost.exe" 0 796 800 808 8192 804 780  , 20231031163848.568072+000 , C:\Windows\system32\SearchFilterHost.exe,988 , 5532 , ('NT AUTHORITY', 0, 'SYSTEM') , SeChangeNotifyPrivilege|
C:\Windows\System32\mousocoreworker.exe -Embedding , 20231031163925.237519+000 , None,700 , 1440 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
taskhostw.exe Install $(Arg0) , 20231031163925.379680+000 , C:\Windows\system32\taskhostw.exe,968 , 3544 , ('DESKTOP-CQ9GT7R', 0, 'BULFU') , SeChangeNotifyPrivilege|
C:\Windows\servicing\TrustedInstaller.exe , 20231031163925.894957+000 , C:\Windows\servicing\TrustedInstaller.exe,572 , 5888 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
taskhostw.exe , 20231031163926.505075+000 , C:\Windows\system32\taskhostw.exe,968 , 1716 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3562_none_7e0523f67c93b82a\TiWorker.exe -Embedding , 20231031163928.332041+000 , None,700 , 3928 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
taskhostw.exe /RuntimeWide , 20231031163930.126798+000 , C:\Windows\system32\taskhostw.exe,968 , 2980 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
None , 20231031163930.549647+000 , None,572 , 5588 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe" /RuntimeWide /StopEvent:488 , 20231031163936.995160+000 , None,2980 , 5392 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
\??\C:\Windows\system32\conhost.exe 0x4 , 20231031163939.821995+000 , None,5392 , 2312 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe" RemoveTaskDelayStartTrigger /LegacyServiceBehavior , 20231031163940.553946+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,5392 , 5628 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
"C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe" ExecuteQueuedItems /LegacyServiceBehavior , 20231031163941.437321+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,5392 , 4400 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 21c -InterruptEvent 0 -NGENProcess 208 -Pipe 218 -Comment "NGen Worker Process" , 20231031163945.296564+000 , None,4400 , 5980 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
cscript.exe C:\Users\BULFU\Desktop\blackhat\temp\bhservice_task.vbs , 20231031163948.652597+000 , C:\Windows\system32\cscript.exe,3860 , 4504 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2b8 -InterruptEvent 0 -NGENProcess 2ac -Pipe 2a4 -Comment "NGen Worker Process" , 20231031163951.681813+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 4772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2b8 -InterruptEvent 0 -NGENProcess 2d0 -Pipe 2e0 -Comment "NGen Worker Process" , 20231031163954.839997+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3512 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2c0 -InterruptEvent 0 -NGENProcess 2dc -Pipe 2b8 -Comment "NGen Worker Process" , 20231031163955.779814+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5648 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2c0 -InterruptEvent 0 -NGENProcess 2d0 -Pipe 2e8 -Comment "NGen Worker Process" , 20231031163956.542665+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 4072 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2e4 -InterruptEvent 0 -NGENProcess 2b4 -Pipe 2c0 -Comment "NGen Worker Process" , 20231031163959.048782+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3832 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2e4 -InterruptEvent 0 -NGENProcess 2d0 -Pipe 2f0 -Comment "NGen Worker Process" , 20231031164005.149231+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2112 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2ec -InterruptEvent 0 -NGENProcess 2d4 -Pipe 2e4 -Comment "NGen Worker Process" , 20231031164005.852201+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2cc -InterruptEvent 0 -NGENProcess 2f8 -Pipe 2ec -Comment "NGen Worker Process" , 20231031164010.286335+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5396 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2d8 -InterruptEvent 0 -NGENProcess 2b4 -Pipe 304 -Comment "NGen Worker Process" , 20231031164014.243284+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3068 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2cc -InterruptEvent 0 -NGENProcess 2f4 -Pipe 2d8 -Comment "NGen Worker Process" , 20231031164014.866292+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5484 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 2f4 -InterruptEvent 0 -NGENProcess 308 -Pipe 2cc -Comment "NGen Worker Process" , 20231031164018.066231+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3056 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 30c -InterruptEvent 0 -NGENProcess 2dc -Pipe 2f4 -Comment "NGen Worker Process" , 20231031164021.369421+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5128 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 314 -InterruptEvent 0 -NGENProcess 300 -Pipe 30c -Comment "NGen Worker Process" , 20231031164022.527538+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 5064 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 31c -InterruptEvent 0 -NGENProcess 2f8 -Pipe 314 -Comment "NGen Worker Process" , 20231031164023.518353+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 2488 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 31c -InterruptEvent 0 -NGENProcess 310 -Pipe 328 -Comment "NGen Worker Process" , 20231031164024.493361+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 6044 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 324 -InterruptEvent 0 -NGENProcess 2d4 -Pipe 31c -Comment "NGen Worker Process" , 20231031164025.894432+000 , C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,4400 , 3772 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe -StartupEvent 334 -InterruptEvent 0 -NGENProcess 32c -Pipe 310 -Comment "NGen Worker Process" , 20231031164027.846717+000 , None,4400 , 2344 , ('NT AUTHORITY', 0, 'SYSTEM') , N/A
